"NEYMAR","E. CAVANI","K. MBAPPÉ","M. VERRATTI","L. PAREDES","A. RABIOT","L. KURZAWA","THIAGO SILVA","MARQUINHOS","DANI ALVES"
"VINÍCIUS JÚNIOR","K. BENZEMA","G. BALE","L. MODRIĆ","CASEMIRO","ISCO","MARCELO","SERGIO RAMOS","R. VARANE","DANIEL CARVAJAL"
"M. MORENO","F. URIBE","GEUVÂNIO","R. PIRIS","WILLIAN ARÃO","DIEGO","RENÊ","LÉO DUARTE","RHODOLFO","RODINEI"
"N. KALINIĆ","DIEGO COSTA","VITOLO","SAÚL","T. PARTEY","KOKE","FILIPE LUIS","D. GODÍN","L. HERNANDEZ","S. ARIAS"
"H. ÇALHANOĞLU","K. PIĄTEK","SUSO","G. BONAVENTURA","L. BIGLIA","LUCAS PAQUETÁ","R. RODRÍGUEZ","A. ROMAGNOLI","M. CALDARA","D. CALABRIA"
"F. CERVI","H. SEFEROVIĆ","E. SALVIO","PIZZI","L. FEJSA","GABRIEL PIRES","ÁLEX GRIMALDO","RÚBEN DIAS","JARDEL","ANDRÉ ALMEIDA"
"V. ABOUBAKAR","J. CORONA","TIQUINHO SOARES","H. HERRERA","DANILO PEREIRA","Y. BRAHIMI","ALEX TELLES","FELIPE","PEPE","M. PEREIRA"
"E. HAZARD","G. HIGUAÍN","WILLIAN","N. KANTÉ","JORGINHO","R. BARKLEY","MARCOS ALONSO","A. RÜDIGER","DAVID LUIZ","AZPILICUETA"
"D. ZAPATA","R. GOSENS","H. HATEBOER","M. DE ROON","R. FREULER","J. ILIČIĆ","RAFAEL TOLÓI","A. MASIELLO","J. PALOMINO","G. MANCINI"
"SANTI MINA","GONÇALO GUEDES","RODRIGO","D. CHERYSHEV","G. KONDOGBIA","DANI PAREJO","JOSÉ GAYÁ","E. GARAY","GABRIEL","C. PICCINI"
"O. KAYODE","JÚNIOR MORAES","MARLOS","MAYCON","T. STEPANENKO","TAISON","ISMAILY","V. BONDARENKO","S. KRIVTSOV","B. BUTKO"
"D. PEROTTI","E. DŽEKO","C. ÜNDER","L. PELLEGRINI","D. DE ROSSI","J. PASTORE","A. KOLAROV","K. MANOLAS","F. FAZIO","A. FLORENZI"
"M. ALBRIGHTON","J. VARDY","K. IHEANACHO","Y. TIELEMANS","W. NDIDI","J. MADDISON","B. CHILWELL","H. MAGUIRE","J. EVANS","RICARDO PEREIRA"
"L. OCAMPOS","L. DE JONG","RONY LOPES","N. GUDELJ","FERNANDO","É. BANEGA","ESCUDERO","DIEGO CARLOS","DANIEL CARRIÇO","SERGI GÓMEZ"
"M. PAROLO","C. IMMOBILE","F. CAICEDO","S. M. SAVIĆ","LUCAS LEIVA","LUIS ALBERTO","J. LUKAKU","F. ACERBI","WALLACE","D. BASTA"
"L. INSIGNE","D. MERTENS","JOSÉ CALLEJÓN","ALLAN","P. ZIELIŃSKI","FABIÁN RUIZ","F. GHOULAM","K. KOULIBALY","NIKOLA MAKSIMOVIĆ","K. MALCUIT"
"JAIME MATA","ÁNGEL","G. SHIBASAKI","N. MAKSIMOVIĆ","BERGARA","BERGARA","V. ANTUNES","D. DAKONAM","BRUNO","D. SUÁREZ"
"SON HEUNG-MIN","H. KANE","LUCAS MOURA","D. ALLI","E. DIER","C. ERIKSEN","D. ROSE","T. ALDERWEIRELD","J. VERTONGHEN","K. TRIPPIER"
"A. SÁNCHEZ","R. LUKAKU","J. LINGARD","P. POGBA","N. MATIĆ","FRED","L. SHAW","E. BAILLY","P. JONES","A. VALENCIA"
"R. ÁBILA","D. BENEDETTO","C. PAVÓN","N. NÁNDEZ","I. MARCONE","E. REYNOSO","F. FABRA","C. IZQUIERDOZ","P. GOLTZ","J. BUFFARINI"
