,Name:,Attacking Prowess:,Ball Control:,Dribbling:,Low Pass:,Lofted Pass:,Finishing:,Place Kicking:,Swerve:,Header:,Defensive Prowess:,Ball Winning:,Kicking Power:,Speed:,Explosive Power:,Unwavering Balance:,Physical Contact:,Jump:,Stamina:
0,['C. RONALDO'],94,90,88,83,82,93,88,83,93,48,54,94,89,86,84,86,98,88
1,['L. MESSI'],95,97,96,88,86,95,90,89,68,43,48,80,86,92,95,66,67,76
2,['NEYMAR'],90,95,96,88,83,86,93,89,72,48,49,80,90,97,93,63,68,87
3,['L. MODRIĆ'],80,92,89,94,89,75,80,82,60,72,82,79,78,89,93,62,62,87
4,['L. SUÁREZ'],94,85,81,80,77,92,80,84,77,58,54,86,78,86,80,87,70,84
5,['T. KROOS'],75,94,80,96,95,78,80,85,63,77,68,84,73,76,78,80,64,84
6,['E. HAZARD'],86,92,96,84,83,85,75,83,60,52,43,81,89,95,93,74,58,79
7,['R. LEWANDOWSKI'],93,89,87,79,68,92,65,70,85,53,50,87,81,81,79,84,84,79
8,['A. GRIEZMANN'],90,88,89,84,80,87,81,84,75,54,57,80,86,88,82,70,78,80
9,['K. DE BRUYNE'],86,91,87,92,92,84,84,80,62,51,53,87,78,79,80,74,65,87
10,['M. SALAH'],88,92,92,84,78,88,70,82,61,50,48,78,94,95,90,75,68,85
11,['SERGIO RAMOS'],65,74,66,75,76,72,66,67,94,89,90,75,78,77,66,84,95,84
12,['S. AGÜERO'],91,88,88,78,69,90,72,80,68,53,50,86,84,90,88,73,78,73
13,['E. CAVANI'],92,81,80,78,75,89,77,82,90,56,55,87,81,80,69,80,87,91
14,['M. HUMMELS'],63,81,68,87,90,63,60,70,92,96,90,77,72,68,68,89,80,83
15,['H. KANE'],94,83,80,79,78,93,70,75,85,55,56,87,79,77,67,88,72,87
16,['PIQUÉ'],64,80,69,85,84,70,60,63,88,91,90,75,75,69,72,88,88,83
17,['G. CHIELLINI'],63,71,72,74,75,62,60,68,85,92,95,79,81,73,64,91,87,85
18,['DAVID SILVA'],86,93,89,94,86,76,79,84,64,59,57,73,70,75,92,64,70,80
19,['G. HIGUAÍN'],94,82,82,78,76,92,74,78,85,47,55,88,76,73,76,85,78,78
20,['MARCELO'],84,87,84,84,82,76,65,82,70,79,82,87,82,84,75,80,71,86
21,['G. BALE'],86,86,87,82,78,85,79,80,79,54,56,92,91,89,65,82,81,75
22,['P. AUBAMEYANG'],88,81,82,75,64,87,73,72,85,50,51,83,97,96,80,78,88,85
23,['P. COUTINHO'],87,90,92,87,79,85,85,87,63,51,54,83,79,90,92,65,65,80
24,['M. REUS'],84,86,87,84,82,83,84,85,65,54,53,87,89,88,81,69,76,80
25,['P. DYBALA'],86,90,89,84,81,88,86,88,65,49,52,85,80,86,91,66,68,80
26,['N. KANTÉ'],74,83,80,86,82,67,63,63,64,94,93,73,83,87,92,79,82,96
27,['INIESTA'],72,94,90,93,88,71,70,79,60,67,66,71,74,76,90,69,56,74
28,['K. BENZEMA'],86,94,86,87,60,83,74,79,76,53,48,87,78,84,77,86,74,77
29,['D. GODÍN'],64,75,67,79,75,62,65,66,94,94,90,69,72,68,66,87,85,85
30,['A. VIDAL'],80,84,78,85,82,78,73,76,82,83,86,85,75,78,78,80,85,90
31,['A. SÁNCHEZ'],84,84,87,76,74,83,79,80,73,58,55,84,81,90,88,72,87,82
32,['DIEGO COSTA'],88,85,81,78,65,86,63,69,86,60,67,86,83,78,78,88,76,83
33,['M. ÖZIL'],84,92,88,93,85,75,77,83,64,52,46,72,74,83,90,67,62,76
34,['SERGIO BUSQUETS'],72,88,79,90,85,67,69,68,74,86,87,71,66,65,82,82,76,88
35,['THIAGO SILVA'],63,80,71,81,82,58,67,66,85,91,89,76,77,73,73,83,94,76
36,['R. LUKAKU'],89,75,82,76,77,87,72,75,87,50,50,88,91,85,72,94,82,85
37,['J. BOATENG'],62,74,70,80,83,55,60,61,91,91,94,80,81,74,64,93,85,78
38,['DOUGLAS COSTA'],79,89,92,82,89,72,78,84,58,56,60,84,87,94,86,67,61,79
39,['C. ERIKSEN'],85,89,85,89,87,80,87,84,62,60,61,84,76,80,85,65,62,88
40,['THIAGO A.'],74,90,92,90,87,74,78,89,60,76,74,74,72,78,87,60,74,72
41,['J. RODRÍGUEZ'],83,88,85,87,89,85,85,82,68,55,51,86,75,80,80,71,64,78
42,['CASEMIRO'],72,82,71,80,78,67,82,72,80,90,89,85,78,75,74,88,85,88
43,['V. VAN DIJK'],61,76,72,80,81,62,76,67,87,90,90,82,78,73,61,93,85,78
44,['S. UMTITI'],63,75,66,81,79,61,63,72,85,87,90,76,79,75,68,88,89,84
45,['L. INSIGNE'],86,89,86,84,87,83,83,84,55,56,50,77,85,89,84,58,64,89
